File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biosample Age	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF002DZG	fastq	reads	ENCSR910OQF	DNase-seq	UBERON:0002240	spinal cord	tissue	fetal	male, female	Homo sapiens							DNA					2015-08-31	ENCODE				59 day	1	1	36		paired-ended	1	ENCFF002DZH		9359609965	John Stamatoyannopoulos, UW	62e486b475501cd0cb15eeadf091d656	https://www.encodeproject.org/files/ENCFF002DZG/@@download/ENCFF002DZG.fastq.gz		HiSeq 2000		released	inconsistent platforms			
ENCFF002DZI	fastq	reads	ENCSR910OQF	DNase-seq	UBERON:0002240	spinal cord	tissue	fetal	male, female	Homo sapiens							DNA					2015-08-31	ENCODE				59 day	1	1	36		paired-ended	1	ENCFF002DZJ		10565285103	John Stamatoyannopoulos, UW	a957c157376a61fb78fdb69c67da3508	https://www.encodeproject.org/files/ENCFF002DZI/@@download/ENCFF002DZI.fastq.gz		HiSeq 2000		released	inconsistent platforms			
ENCFF002DZK	fastq	reads	ENCSR910OQF	DNase-seq	UBERON:0002240	spinal cord	tissue	fetal	male, female	Homo sapiens							DNA					2015-08-31	ENCODE				59 day	1	1	36		paired-ended	1	ENCFF002DZN		4203204262	John Stamatoyannopoulos, UW	3b06eae0e81e149e514ac1b301d32a34	https://www.encodeproject.org/files/ENCFF002DZK/@@download/ENCFF002DZK.fastq.gz		HiSeq 2000		released	inconsistent platforms			
ENCFF002DZL	fastq	reads	ENCSR910OQF	DNase-seq	UBERON:0002240	spinal cord	tissue	fetal	male, female	Homo sapiens							DNA					2015-08-31	ENCODE				59 day	1	1	36		paired-ended	1	ENCFF002DZM		739943696	John Stamatoyannopoulos, UW	3e1aebca2bd59b5deb692256917e17c3	https://www.encodeproject.org/files/ENCFF002DZL/@@download/ENCFF002DZL.fastq.gz		HiSeq 2000		released	inconsistent platforms			
ENCFF002DZY	fastq	reads	ENCSR910OQF	DNase-seq	UBERON:0002240	spinal cord	tissue	fetal	male, female	Homo sapiens							DNA					2015-08-31	ENCODE				59 day	1	1	36		paired-ended	1	ENCFF002EAL		1101360452	John Stamatoyannopoulos, UW	6c5b6c44182b6f09ca81b23efac4e039	https://www.encodeproject.org/files/ENCFF002DZY/@@download/ENCFF002DZY.fastq.gz		HiSeq 2000		released	inconsistent platforms			
ENCFF002DZH	fastq	reads	ENCSR910OQF	DNase-seq	UBERON:0002240	spinal cord	tissue	fetal	male, female	Homo sapiens							DNA					2015-08-31	ENCODE				59 day	1	1	36		paired-ended	2	ENCFF002DZG		9552574683	John Stamatoyannopoulos, UW	01733430cc0f0b5d8624b96973a6b946	https://www.encodeproject.org/files/ENCFF002DZH/@@download/ENCFF002DZH.fastq.gz		HiSeq 2000		released	inconsistent platforms			
ENCFF002DZJ	fastq	reads	ENCSR910OQF	DNase-seq	UBERON:0002240	spinal cord	tissue	fetal	male, female	Homo sapiens							DNA					2015-08-31	ENCODE				59 day	1	1	36		paired-ended	2	ENCFF002DZI		10404911253	John Stamatoyannopoulos, UW	f26a37369e3a860bda0fa6568df95dd1	https://www.encodeproject.org/files/ENCFF002DZJ/@@download/ENCFF002DZJ.fastq.gz		HiSeq 2000		released	inconsistent platforms			
ENCFF002DZM	fastq	reads	ENCSR910OQF	DNase-seq	UBERON:0002240	spinal cord	tissue	fetal	male, female	Homo sapiens							DNA					2015-08-31	ENCODE				59 day	1	1	36		paired-ended	2	ENCFF002DZL		752243486	John Stamatoyannopoulos, UW	1e2e3b9bcf8e213486ded013766784dc	https://www.encodeproject.org/files/ENCFF002DZM/@@download/ENCFF002DZM.fastq.gz		HiSeq 2000		released	inconsistent platforms			
ENCFF002DZN	fastq	reads	ENCSR910OQF	DNase-seq	UBERON:0002240	spinal cord	tissue	fetal	male, female	Homo sapiens							DNA					2015-08-31	ENCODE				59 day	1	1	36		paired-ended	2	ENCFF002DZK		4400362238	John Stamatoyannopoulos, UW	3ca9de8cd6a3fe00f503247544aebaef	https://www.encodeproject.org/files/ENCFF002DZN/@@download/ENCFF002DZN.fastq.gz		HiSeq 2000		released	inconsistent platforms			
ENCFF002EAL	fastq	reads	ENCSR910OQF	DNase-seq	UBERON:0002240	spinal cord	tissue	fetal	male, female	Homo sapiens							DNA					2015-08-31	ENCODE				59 day	1	1	36		paired-ended	2	ENCFF002DZY		1127943215	John Stamatoyannopoulos, UW	5121ea8548847a7dcc75fac4201cd2ad	https://www.encodeproject.org/files/ENCFF002EAL/@@download/ENCFF002EAL.fastq.gz		HiSeq 2000		released	inconsistent platforms			
ENCFF432VPE	fastq	reads	ENCSR910OQF	DNase-seq	UBERON:0002240	spinal cord	tissue	fetal	male, female	Homo sapiens							DNA					2015-08-31	ENCODE				72 day	2	1	36		paired-ended	1	ENCFF906XWY		275186659	John Stamatoyannopoulos, UW	b740f8ff6fe094d26d726ee3363fcabd	https://www.encodeproject.org/files/ENCFF432VPE/@@download/ENCFF432VPE.fastq.gz		HiSeq 2000		released	inconsistent platforms			
ENCFF516OCH	fastq	reads	ENCSR910OQF	DNase-seq	UBERON:0002240	spinal cord	tissue	fetal	male, female	Homo sapiens							DNA					2015-08-31	ENCODE				72 day	2	1	36		paired-ended	2	ENCFF389UDN		2260289079	John Stamatoyannopoulos, UW	a0f88a8b978229cff0754b931e36cde0	https://www.encodeproject.org/files/ENCFF516OCH/@@download/ENCFF516OCH.fastq.gz		Illumina NextSeq 500		released	inconsistent platforms			
ENCFF906XWY	fastq	reads	ENCSR910OQF	DNase-seq	UBERON:0002240	spinal cord	tissue	fetal	male, female	Homo sapiens							DNA					2015-08-31	ENCODE				72 day	2	1	36		paired-ended	2	ENCFF432VPE		293725389	John Stamatoyannopoulos, UW	69d055e51ff71c89ace96c11e7e643eb	https://www.encodeproject.org/files/ENCFF906XWY/@@download/ENCFF906XWY.fastq.gz		HiSeq 2000		released	inconsistent platforms			
ENCFF389UDN	fastq	reads	ENCSR910OQF	DNase-seq	UBERON:0002240	spinal cord	tissue	fetal	male, female	Homo sapiens							DNA					2015-08-31	ENCODE				72 day	2	1	36		paired-ended	1	ENCFF516OCH		2042793292	John Stamatoyannopoulos, UW	b67e17af134cb5699e256e24bdd34ebe	https://www.encodeproject.org/files/ENCFF389UDN/@@download/ENCFF389UDN.fastq.gz		Illumina NextSeq 500		released	inconsistent platforms			
ENCFF383DPI	fastq	reads	ENCSR901BRM	DNase-seq	EFO:0002067	K562	immortalized cell line	adult	female	Homo sapiens							DNA					2016-07-20	ENCODE				53 year	1	1	36		paired-ended	1	ENCFF452GSC		1989684257	John Stamatoyannopoulos, UW	f1c291f6865ad024657bffd607f53057	https://www.encodeproject.org/files/ENCFF383DPI/@@download/ENCFF383DPI.fastq.gz		HiSeq 2500		released			unreplicated experiment	
ENCFF813RMF	fastq	reads	ENCSR901BRM	DNase-seq	EFO:0002067	K562	immortalized cell line	adult	female	Homo sapiens							DNA					2016-07-20	ENCODE				53 year	1	1	36		paired-ended	1	ENCFF360RBA		262586098	John Stamatoyannopoulos, UW	b73ff751188b1f98e86b0866f66ef5f3	https://www.encodeproject.org/files/ENCFF813RMF/@@download/ENCFF813RMF.fastq.gz		HiSeq 2500		released			unreplicated experiment	
ENCFF452GSC	fastq	reads	ENCSR901BRM	DNase-seq	EFO:0002067	K562	immortalized cell line	adult	female	Homo sapiens							DNA					2016-07-20	ENCODE				53 year	1	1	36		paired-ended	2	ENCFF383DPI		2087776023	John Stamatoyannopoulos, UW	a5ebda8e8ab617cd6b4f46714f78bb60	https://www.encodeproject.org/files/ENCFF452GSC/@@download/ENCFF452GSC.fastq.gz		HiSeq 2500		released			unreplicated experiment	
ENCFF360RBA	fastq	reads	ENCSR901BRM	DNase-seq	EFO:0002067	K562	immortalized cell line	adult	female	Homo sapiens							DNA					2016-07-20	ENCODE				53 year	1	1	36		paired-ended	2	ENCFF813RMF		273213423	John Stamatoyannopoulos, UW	36abf289a0370bc7643202c925f1dcf5	https://www.encodeproject.org/files/ENCFF360RBA/@@download/ENCFF360RBA.fastq.gz		HiSeq 2500		released			unreplicated experiment	
ENCFF962HUB	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				58 day	1	1	36		paired-ended	1	ENCFF594WWS		2681806218	John Stamatoyannopoulos, UW	68708767293de3f5c32e7b822f094bca	https://www.encodeproject.org/files/ENCFF962HUB/@@download/ENCFF962HUB.fastq.gz		HiSeq 2500		released	inconsistent platforms			
ENCFF691CVP	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				58 day	1	1	36		paired-ended	1	ENCFF742XUB		64762799	John Stamatoyannopoulos, UW	85c9cdc90f75325162dde2d2fff4c08a	https://www.encodeproject.org/files/ENCFF691CVP/@@download/ENCFF691CVP.fastq.gz		Illumina NextSeq 500		released	inconsistent platforms			
ENCFF840QPG	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				59 day	2	1	36		paired-ended	1	ENCFF003CCT		3716781984	John Stamatoyannopoulos, UW	663d40ddc29895db2f9bd6dbc43431de	https://www.encodeproject.org/files/ENCFF840QPG/@@download/ENCFF840QPG.fastq.gz		HiSeq 2500		released	inconsistent platforms			
ENCFF855ZJY	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				58 day	1	1	36		paired-ended	2	ENCFF310IUW		1252822170	John Stamatoyannopoulos, UW	ba81f6cfffd51c104835777a9bcbbae5	https://www.encodeproject.org/files/ENCFF855ZJY/@@download/ENCFF855ZJY.fastq.gz		Illumina NextSeq 500		released	inconsistent platforms			
ENCFF639NHU	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				59 day	2	1	36		paired-ended	2	ENCFF409NYE		1032173429	John Stamatoyannopoulos, UW	6941d7acdd603f81bc161eecdf7571a2	https://www.encodeproject.org/files/ENCFF639NHU/@@download/ENCFF639NHU.fastq.gz		HiSeq 2500		released	inconsistent platforms			
ENCFF598FGB	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				59 day	2	1	36		paired-ended	1	ENCFF870AOX		574257645	John Stamatoyannopoulos, UW	86c0d05f756cd84918706fb9a20ebeeb	https://www.encodeproject.org/files/ENCFF598FGB/@@download/ENCFF598FGB.fastq.gz		HiSeq 2500		released	inconsistent platforms			
ENCFF870AOX	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				59 day	2	1	36		paired-ended	2	ENCFF598FGB		553750732	John Stamatoyannopoulos, UW	916c9b412333ba5f0500592cef02c022	https://www.encodeproject.org/files/ENCFF870AOX/@@download/ENCFF870AOX.fastq.gz		HiSeq 2500		released	inconsistent platforms			
ENCFF310IUW	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				58 day	1	1	36		paired-ended	1	ENCFF855ZJY		1188229255	John Stamatoyannopoulos, UW	9316f9812479fda500077365d369645e	https://www.encodeproject.org/files/ENCFF310IUW/@@download/ENCFF310IUW.fastq.gz		Illumina NextSeq 500		released	inconsistent platforms			
ENCFF812KWI	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				58 day	1	1	36		paired-ended	1	ENCFF744PZE		508501704	John Stamatoyannopoulos, UW	b0f59688de2b1aee63bad0304db1482c	https://www.encodeproject.org/files/ENCFF812KWI/@@download/ENCFF812KWI.fastq.gz		Illumina NextSeq 500		released	inconsistent platforms			
ENCFF257XLK	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				59 day	2	1	36		paired-ended	1	ENCFF334TBL		107877519	John Stamatoyannopoulos, UW	d24af53fa531118f8e0bed70e3b4d35e	https://www.encodeproject.org/files/ENCFF257XLK/@@download/ENCFF257XLK.fastq.gz		HiSeq 2500		released	inconsistent platforms			
ENCFF742XUB	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				58 day	1	1	36		paired-ended	2	ENCFF691CVP		69198019	John Stamatoyannopoulos, UW	f61b7b48b5f181538aad2bfff7a9ca55	https://www.encodeproject.org/files/ENCFF742XUB/@@download/ENCFF742XUB.fastq.gz		Illumina NextSeq 500		released	inconsistent platforms			
ENCFF334TBL	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				59 day	2	1	36		paired-ended	2	ENCFF257XLK		108726587	John Stamatoyannopoulos, UW	3b1b4f3829b690926ded940cf098ecfd	https://www.encodeproject.org/files/ENCFF334TBL/@@download/ENCFF334TBL.fastq.gz		HiSeq 2500		released	inconsistent platforms			
ENCFF409NYE	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				59 day	2	1	36		paired-ended	1	ENCFF639NHU		1030364912	John Stamatoyannopoulos, UW	f25b3ac8118f23e300a4bd866551c6e3	https://www.encodeproject.org/files/ENCFF409NYE/@@download/ENCFF409NYE.fastq.gz		HiSeq 2500		released	inconsistent platforms			
ENCFF003CCT	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				59 day	2	1	36		paired-ended	2	ENCFF840QPG		4041893268	John Stamatoyannopoulos, UW	92a74e248e0f3bfa4061c638e3db4f28	https://www.encodeproject.org/files/ENCFF003CCT/@@download/ENCFF003CCT.fastq.gz		HiSeq 2500		released	inconsistent platforms			
ENCFF594WWS	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				58 day	1	1	36		paired-ended	2	ENCFF962HUB		2704193230	John Stamatoyannopoulos, UW	2381791dfd2f670e080ea9823e02eb10	https://www.encodeproject.org/files/ENCFF594WWS/@@download/ENCFF594WWS.fastq.gz		HiSeq 2500		released	inconsistent platforms			
ENCFF744PZE	fastq	reads	ENCSR532CRI	DNase-seq	UBERON:0002101	limb	tissue	fetal	unknown	Homo sapiens							DNA					2016-05-09	ENCODE				58 day	1	1	36		paired-ended	2	ENCFF812KWI		534015564	John Stamatoyannopoulos, UW	9f57045e44b17c21c6a719953f5a94c5	https://www.encodeproject.org/files/ENCFF744PZE/@@download/ENCFF744PZE.fastq.gz		Illumina NextSeq 500		released	inconsistent platforms			
ENCFF916YMJ	fastq	reads	ENCSR953JVX	DNase-seq	UBERON:0002113	kidney	tissue	fetal	female	Homo sapiens							DNA		see document			2013-07-31	Roadmap				105 day	1	3	36		single-ended				171135199	Zhiping Weng, UMass	b833555b0a56b6a766ac1b8d22fa35af	https://www.encodeproject.org/files/ENCFF916YMJ/@@download/ENCFF916YMJ.fastq.gz				released				
ENCFF799XLW	fastq	reads	ENCSR953JVX	DNase-seq	UBERON:0002113	kidney	tissue	fetal	female	Homo sapiens							DNA		see document			2013-07-31	Roadmap				105 day	1	3	36		single-ended				561859919	Zhiping Weng, UMass	2c8da7b2eb4bf58950d3aa1aa83a37e8	https://www.encodeproject.org/files/ENCFF799XLW/@@download/ENCFF799XLW.fastq.gz				released				
ENCFF618FCN	fastq	reads	ENCSR953JVX	DNase-seq	UBERON:0002113	kidney	tissue	fetal	female	Homo sapiens							DNA		see document			2013-07-31	Roadmap				105 day	1	3	36		single-ended				556761503	Zhiping Weng, UMass	1d8a9b3e3acd1db4e2aa8246f8eb8e76	https://www.encodeproject.org/files/ENCFF618FCN/@@download/ENCFF618FCN.fastq.gz				released				
ENCFF001BKN	fastq	reads	ENCSR000EOD	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE		see document			1	1	36		single-ended				689626432	John Stamatoyannopoulos, UW	efe85ed638800c7d6e5ad7a7d796293d	https://www.encodeproject.org/files/ENCFF001BKN/@@download/ENCFF001BKN.fastq.gz		Illumina Genome Analyzer IIx		released	mixed run types, inconsistent platforms			
ENCFF001BKO	fastq	reads	ENCSR000EOD	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE		see document			1	1	36		single-ended				960280290	John Stamatoyannopoulos, UW	abd36a9be2979928c0a93a6ac635f43f	https://www.encodeproject.org/files/ENCFF001BKO/@@download/ENCFF001BKO.fastq.gz		Illumina Genome Analyzer IIx		released	mixed run types, inconsistent platforms			
ENCFF001DIV	fastq	reads	ENCSR000EOD	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE		see document			2	1	36		single-ended				2142160294	John Stamatoyannopoulos, UW	78d091c800f0608aaab2292d065af770	https://www.encodeproject.org/files/ENCFF001DIV/@@download/ENCFF001DIV.fastq.gz		Illumina Genome Analyzer IIx		released	mixed run types, inconsistent platforms			
ENCFF001DIS	fastq	reads	ENCSR000EOD	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE		see document			1	1	36		single-ended				2482269352	John Stamatoyannopoulos, UW	5cd68bb1ffc78a7545e57bdcc482b821	https://www.encodeproject.org/files/ENCFF001DIS/@@download/ENCFF001DIS.fastq.gz		Illumina Genome Analyzer IIx		released	mixed run types, inconsistent platforms			
ENCFF001BKX	fastq	reads	ENCSR000EOD	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE		see document			1	1	36		paired-ended	1			592176081	John Stamatoyannopoulos, UW	e70a9c20b6fcf3f00ee4d2534eabfe3d	https://www.encodeproject.org/files/ENCFF001BKX/@@download/ENCFF001BKX.fastq.gz		HiSeq 2000		released	mixed run types, inconsistent platforms			missing paired_with
ENCFF001BKY	fastq	reads	ENCSR000EOD	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE		see document			1	1	36		paired-ended	1			608246198	John Stamatoyannopoulos, UW	61ca9d78caa138035880745778f0e36f	https://www.encodeproject.org/files/ENCFF001BKY/@@download/ENCFF001BKY.fastq.gz		HiSeq 2000		released	mixed run types, inconsistent platforms			missing paired_with
ENCFF001BKP	fastq	reads	ENCSR000EOD	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE		see document			1	1	36		single-ended				956384833	John Stamatoyannopoulos, UW	3f8eef921ae93479af4f0c7a078d3f9d	https://www.encodeproject.org/files/ENCFF001BKP/@@download/ENCFF001BKP.fastq.gz		Illumina Genome Analyzer IIx		released	mixed run types, inconsistent platforms			
ENCFF001BKT	fastq	reads	ENCSR000EOD	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE		see document			1	1	36		paired-ended	1			609029285	John Stamatoyannopoulos, UW	b40d512124606d5ba3d6ba6b4ad98ede	https://www.encodeproject.org/files/ENCFF001BKT/@@download/ENCFF001BKT.fastq.gz		HiSeq 2000		released	mixed run types, inconsistent platforms			missing paired_with
ENCFF001BKZ	fastq	reads	ENCSR000EOD	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE		see document			1	1	36		paired-ended	1			603038229	John Stamatoyannopoulos, UW	aa7d2d1e98a3069ca08b41aae1be15cb	https://www.encodeproject.org/files/ENCFF001BKZ/@@download/ENCFF001BKZ.fastq.gz		HiSeq 2000		released	mixed run types, inconsistent platforms			missing paired_with
ENCFF001BKU	fastq	reads	ENCSR000EOD	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE		see document			1	1	36		paired-ended	1			614932861	John Stamatoyannopoulos, UW	5697c00e75ec7c739e76fb6f882fd6d0	https://www.encodeproject.org/files/ENCFF001BKU/@@download/ENCFF001BKU.fastq.gz		HiSeq 2000		released	mixed run types, inconsistent platforms			missing paired_with
ENCFF001BKW	fastq	reads	ENCSR000EOD	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE		see document			1	1	36		paired-ended	1			619335389	John Stamatoyannopoulos, UW	0d419d99afa11f83b1d388297b727746	https://www.encodeproject.org/files/ENCFF001BKW/@@download/ENCFF001BKW.fastq.gz		HiSeq 2000		released	mixed run types, inconsistent platforms			missing paired_with
